City Name,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed,Date
Codrington,AU,-38.27,141.97,98,73,62.15,19.06,1579826915
Cape Town,ZA,-33.93,18.42,0,72,68.0,10.29,1579827001
Padang,ID,-0.95,100.35,20,93,69.21,4.76,1579827051
Fortuna,US,40.6,-124.16,90,76,59.0,5.79,1579827001
George Town,MY,5.41,100.34,20,83,80.6,3.36,1579826843
Hermanus,ZA,-34.42,19.23,42,83,68.0,15.99,1579826883
Lavrentiya,RU,65.58,-171.0,28,84,-14.64,1.54,1579827000
Dikson,RU,73.51,80.55,100,96,-9.81,12.19,1579826878
Constitucion,CL,-35.33,-72.42,99,93,58.71,4.99,1579827052
Canon City,US,38.44,-105.24,1,34,42.01,5.82,1579827052
Pitimbu,BR,-7.47,-34.81,20,83,80.6,4.7,1579827052
Busselton,AU,-33.65,115.33,2,38,75.99,9.4,1579827052
Saint-Philippe,RE,-21.36,55.77,89,100,78.8,8.03,1579827052
Ponta do Sol,PT,32.67,-17.1,20,55,60.8,8.05,1579827052
Albany,US,42.6,-73.97,1,53,30.99,3.36,1579826852
Hithadhoo,MV,-0.6,73.08,30,78,83.73,10.85,1579827053
Ostrovnoy,RU,68.05,39.51,96,94,7.56,8.93,1579827053
Kodiak,US,57.79,-152.41,40,44,19.4,20.8,1579827004
Provideniya,RU,64.38,-173.3,90,70,-2.2,6.71,1579827053
Srednekolymsk,RU,67.45,153.68,99,98,-33.84,5.55,1579826927
Timizart,DZ,36.8,4.27,0,71,58.39,3.76,1579827053
Bonfim,BR,3.08,-59.95,67,43,88.02,7.4,1579827053
Esfarayen,IR,37.08,57.51,20,89,32.0,3.06,1579827054
North Bend,US,43.41,-124.22,90,93,59.0,16.11,1579827054
Priiskovyy,RU,51.93,116.63,0,87,-20.07,3.18,1579827054
Narrabri,AU,-30.32,149.78,44,61,82.4,20.8,1579827054
Piterka,RU,50.68,47.45,10,92,15.13,9.04,1579827054
Katsuura,JP,35.13,140.3,75,81,52.0,3.36,1579827055
Qaqortoq,GL,60.72,-46.03,100,73,23.0,12.75,1579827055
Butaritari,KI,3.07,172.79,14,72,84.69,11.27,1579826988
Contamana,PE,-7.33,-75.02,100,99,74.57,2.48,1579827055
Jamestown,US,42.1,-79.24,90,34,37.99,4.7,1579826791
Vila Franca do Campo,PT,37.72,-25.43,75,87,53.6,4.7,1579827056
Lebu,CL,-37.62,-73.65,17,66,62.29,9.95,1579827056
Mar del Plata,AR,-38.0,-57.56,0,57,80.01,12.75,1579827056
San Cristobal,VE,7.77,-72.22,40,69,82.4,2.24,1579827056
Ushuaia,AR,-54.8,-68.3,75,76,48.2,3.36,1579827057
Pevek,RU,69.7,170.31,99,99,-28.03,6.24,1579826996
Iqaluit,CA,63.75,-68.51,5,60,-29.0,25.28,1579827057
Longyearbyen,SJ,78.22,15.64,40,65,6.8,42.5,1579827058
Upernavik,GL,72.79,-56.15,14,59,-6.38,6.87,1579827058
Sladkovo,RU,55.53,70.34,96,92,15.73,9.04,1579827058
Hobart,AU,-42.88,147.33,75,42,64.99,14.99,1579827058
Revelstoke,CA,50.98,-118.2,90,93,35.6,4.7,1579826870
Matara,LK,5.95,80.54,0,87,73.4,7.54,1579827059
Khromtau,KZ,50.25,58.43,76,94,25.29,15.3,1579827059
Faanui,PF,-16.48,-151.75,10,74,82.47,9.01,1579827059
Orangeville,CA,43.92,-80.1,90,80,34.0,13.87,1579826950
Mitsamiouli,KM,-11.38,43.28,100,80,81.07,13.53,1579827059
High Rock,BS,26.62,-78.28,20,88,66.2,6.93,1579827060
Kasane,BW,-17.82,25.15,87,79,67.08,4.03,1579827060
Cidreira,BR,-30.18,-50.21,20,76,73.4,21.45,1579826965
Puerto Ayora,EC,-0.74,-90.35,75,69,80.6,13.87,1579826895
Severo-Kuril'sk,RU,50.68,156.12,80,81,17.55,8.12,1579827060
Ribeira Grande,PT,38.52,-28.7,77,72,53.58,8.01,1579827005
Punta Arenas,CL,-53.15,-70.92,50,57,50.0,12.75,1579826980
Tasiilaq,GL,65.61,-37.64,25,47,15.8,13.87,1579827060
Rikitea,PF,-23.12,-134.97,0,79,79.3,17.49,1579826982
Pisco,PE,-13.7,-76.22,90,65,80.6,10.29,1579826929
Polewali,ID,-3.43,119.34,68,79,79.57,1.34,1579827061
Mount Isa,AU,-20.73,139.5,40,62,87.8,9.17,1579827061
Hong Kong,HK,22.29,114.16,40,83,75.0,9.17,1579826920
Vaini,TO,-21.2,-175.2,20,74,84.2,10.29,1579827061
Lata,PT,40.16,-8.33,40,87,50.0,6.93,1579827061
Petropavlovsk-Kamchatsky,RU,53.05,158.65,0,54,3.2,10.74,1579827062
Ndele,CF,8.41,20.65,34,17,66.31,10.51,1579827062
Caravelas,BR,-17.71,-39.25,100,83,79.38,28.61,1579827062
Mataura,NZ,-46.19,168.86,56,53,78.73,0.81,1579826878
Talnakh,RU,69.49,88.4,20,77,1.4,17.9,1579827062
Bluff,NZ,-46.6,168.33,66,34,78.26,4.25,1579827062
Bathsheba,BB,13.22,-59.52,90,88,73.4,18.34,1579827062
Port Elizabeth,ZA,-33.92,25.57,20,82,66.2,12.75,1579827062
Mazamari,PE,-11.33,-74.53,100,96,62.78,2.35,1579827063
Savannah Bight,HN,16.45,-85.85,45,73,76.39,15.14,1579827063
Camocim,BR,-2.9,-40.84,95,90,77.41,5.19,1579827063
Chumikan,RU,54.72,135.31,100,96,-6.52,3.22,1579827063
Gobabis,NA,-22.45,18.97,90,33,77.5,9.42,1579826927
Barrow,US,71.29,-156.79,75,75,-13.0,9.17,1579826930
Bengkulu,ID,-3.8,102.27,52,92,74.46,3.98,1579827010
Qaanaaq,GL,77.48,-69.36,0,61,-11.61,5.1,1579827063
Hopelchen,MX,19.77,-89.85,5,73,73.4,11.41,1579826764
Port Alfred,ZA,-33.59,26.89,88,92,64.99,5.01,1579827064
Saskylakh,RU,71.92,114.08,45,95,-36.36,12.62,1579827064
Yumen,CN,40.28,97.2,25,62,13.46,4.45,1579826923
Tuktoyaktuk,CA,69.45,-133.04,40,75,-16.6,9.17,1579827064
Xylagani,GR,40.98,25.42,0,64,32.0,5.82,1579827064
Kaitangata,NZ,-46.28,169.85,80,71,69.01,13.0,1579826891
East London,ZA,-33.02,27.91,81,80,69.04,12.77,1579826988
Farnes,NO,61.32,7.8,100,98,24.76,18.81,1579827065
Sidi Ali,DZ,36.1,0.42,11,51,51.1,6.55,1579827065
